id,name,m_unit_rarity_id,elements,m_world_id,m_master_id,is_active,m_skill_default,m_skill_id_1,m_skill_id_2,m_skill_id_3,m_skill_id_4,min_hp,max_hp,min_atk,max_atk,min_def,max_def,min_mat,max_mat,min_mdf,max_mdf,min_hit,max_hit,min_spd,max_spd,min_tec,max_tec,min_luk,max_luk,m_weapon_id,adv,resource_name,ui_resource_name,width
10110201,ニーナ,5,9,1,1011,0,23,23,1,1,1,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,10110201,10011,SD_B_001_0201_01,B_001,0
10120201,モモ,6,5,1,1012,0,23,23,1,1,1,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,10120201,10012,SD_B_001_0201_01,B_001,0
10130201,ハナ,1,2|5|6,1,1013,0,23,23,1,1,1,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,10130201,10013,SD_B_001_0201_01,B_001,0
10140201,スズ,2,1,1,1014,0,23,23,1,1,1,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,10140201,10014,SD_B_001_0201_01,B_001,0
10150201,ノノ,3,3|5|8|9,1,1015,0,23,23,1,1,1,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,10150201,10015,SD_B_001_0201_01,B_001,0
10160201,もみじ,4,3|7|9,1,1016,0,23,23,1,1,1,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,10160201,10016,SD_B_001_0201_01,B_001,0
10170201,アカネ,5,3|7|9,1,1017,0,20,23,1,1,1,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,10170201,10017,SD_B_001_0201_01,B_001,0
10180201,コハル,6,2,1,1018,0,23,23,1,1,1,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,10180201,10018,SD_B_001_0201_01,B_001,0
10190201,ランコ,1,2|4|6,1,1019,0,23,23,1,1,1,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,10190201,10019,SD_B_001_0201_01,B_001,0
20010101,桜木花乃,2,1|2|3,2,2001,1,0,1,1,1,1,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,20010101,10020,SD_B_001_0201_01,B_001,0
20010201,桜木花乃,3,0,2,2001,1,23,23,1,1,1,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,20010201,10021,SD_B_001_0201_01,B_001,0
20020101,高島夏海,4,0,2,2002,1,0,1,1,1,1,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,20020101,10022,SD_B_002_0201_01,B_002,0
20020201,高島夏海,5,0,2,2002,1,20,20,1,1,1,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,20020201,10023,SD_B_002_0201_01,B_002,0
20030101,柏崎ひなた,6,0,2,2003,1,0,1,1,1,1,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,20030101,10024,SD_B_003_0201_01,B_003,0
20030201,柏崎ひなた,1,0,2,2003,1,20,20,1,1,1,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,20030201,10025,SD_B_003_0201_01,B_003,0
20040101,藤島楓,2,0,2,2004,1,0,1,1,1,1,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,20040101,10001,SD_B_004_0201_01,B_004,0
20040201,藤島楓,3,0,2,2004,1,23,23,1,1,1,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,20040201,10002,SD_B_004_0201_01,B_004,0
20050101,神崎小雪,4,0,2,2005,1,0,1,1,1,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,20050101,10003,SD_B_005_0201_01,B_005,0
20050201,神崎小雪,5,0,2,2005,1,20,20,1,1,1,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,20050201,10004,SD_B_005_0201_01,B_005,0
20060101,白鳥ましろ,6,0,2,2006,1,0,1,1,1,1,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,20060101,10005,SD_B_006_0201_01,B_006,0
20060201,白鳥ましろ,1,0,2,2006,1,23,23,1,1,1,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,20060201,10006,SD_B_006_0201_01,B_006,0
20060301,白鳥ましろ,2,0,2,2006,0,0,1,1,1,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,20060301,10007,SD_B_006_0201_01,B_006,0
20070101,黒崎深月,3,0,2,2007,1,0,1,1,1,1,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,20070101,10008,SD_B_007_0201_01,B_007,0
20070201,黒崎深月,4,0,2,2007,1,23,23,1,1,1,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,20070201,10009,SD_B_007_0201_01,B_007,0
20080101,宮川理穂,5,0,2,2008,1,0,1,1,1,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,20080101,10010,SD_B_007_0201_01,B_007,0
20080201,宮川理穂,6,0,2,2008,1,20,20,1,1,1,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,20080201,10011,SD_B_007_0201_01,B_007,0
20090101,福田あいり,1,0,2,2009,1,0,1,1,1,1,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,20090101,10012,SD_B_007_0201_01,B_007,0
20090201,福田あいり,2,0,2,2009,1,23,23,1,1,1,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,20090201,10013,SD_B_007_0201_01,B_007,0
20100101,小日向愛未,3,0,2,2010,1,0,1,1,1,1,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,20100101,10014,SD_B_010_0201_01,B_010,0
20100201,小日向愛未,4,0,2,2010,1,20,20,1,1,1,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,20100201,10015,SD_B_010_0201_01,B_010,0
20110101,長篠湊,5,0,2,2011,1,0,1,1,1,1,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,20110101,10016,SD_B_011_0201_01,B_011,0
20110201,長篠湊,6,0,2,2011,1,23,23,1,1,1,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,20110201,10017,SD_B_011_0201_01,B_011,0
20120101,久遠寺星那,1,0,2,2012,1,0,1,1,1,1,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,20120101,10018,SD_B_012_0201_01,B_012,0
20120201,久遠寺星那,2,0,2,2012,1,23,23,1,1,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,20120201,10019,SD_B_012_0201_01,B_012,0
20130101,シャーロット,3,0,2,2013,1,0,1,1,1,1,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,20130101,10020,SD_B_013_0201_01,B_013,0
20130201,シャーロット,4,0,2,2013,1,23,23,1,1,1,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,20130201,10021,SD_B_013_0201_01,B_013,0
30010101,大垣さつき,5,0,3,3001,1,0,1,1,1,1,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,30010101,10022,SD_C_001_0201_01,C_001,0
30010201,大垣さつき,6,0,3,3001,1,20,20,1,1,1,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,30010201,10023,SD_C_001_0201_01,C_001,0
30020101,シェリス,1,0,3,3002,1,0,1,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,30020101,10024,SD_C_002_0201_01,C_002,0
30020201,シェリス,2,0,3,3002,1,20,20,1,1,1,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,30020201,10025,SD_C_002_0201_01,C_002,0
30030101,天使綺羅々,3,0,3,3003,1,0,1,1,1,1,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,30030101,10001,SD_C_003_0201_01,C_003,0
30030201,天使綺羅々,4,0,3,3003,1,23,23,1,1,1,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,30030201,10002,SD_C_003_0201_01,C_003,0
30040101,南条まりあ,5,0,3,3004,0,0,1,1,1,1,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,30040101,10003,SD_C_004_0201_01,C_004,0
30040201,南条まりあ,6,0,3,3004,0,23,23,1,1,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,30040201,10004,SD_C_004_0201_01,C_004,0
30050101,宮部新,1,0,3,3005,1,0,1,1,1,1,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,30050101,10005,SD_C_004_0201_01,C_004,0
30050201,宮部新,2,0,3,3005,1,20,20,1,1,1,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,30050201,10006,SD_C_004_0201_01,C_004,0
30060101,三道あきら,3,0,3,3006,1,0,1,1,1,1,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,30060101,10007,SD_C_004_0201_01,C_004,0
30060201,三道あきら,4,0,3,3006,1,20,20,1,1,1,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,30060201,10008,SD_C_004_0201_01,C_004,0
30070101,久原エルト,5,0,3,3007,0,0,1,1,1,1,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,30070101,10009,SD_C_004_0201_01,C_004,0
30070201,久原エルト,6,0,3,3007,0,0,1,1,1,1,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,30070201,10010,SD_C_004_0201_01,C_004,0
30080101,坂本里沙,1,0,3,3008,1,0,1,1,1,1,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,30080101,10011,SD_C_004_0201_01,C_004,0
30080201,坂本里沙,2,0,3,3008,1,20,20,1,1,1,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,30080201,10012,SD_C_004_0201_01,C_004,0
30090101,中田妙子,3,0,3,3009,1,0,1,1,1,1,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,30090101,10013,SD_C_009_0201_01,C_009,0
30090201,中田妙子,4,0,3,3009,1,20,20,1,1,1,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,30090201,10014,SD_C_009_0201_01,C_009,14
30100101,蔵敷つぐみ,5,0,3,3010,1,0,1,1,1,1,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,30100101,10015,SD_C_010_0201_01,C_010,0
30100201,蔵敷つぐみ,6,0,3,3010,1,23,23,1,1,1,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,30100201,10016,SD_C_010_0201_01,C_010,0
30110101,ヴァネッサ,1,0,3,3011,1,0,1,1,1,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,30110101,10017,SD_C_011_0201_01,C_011,0
30110201,ヴァネッサ,2,0,3,3011,1,23,23,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30110201,10018,SD_C_011_0201_01,C_011,0
40010101,東田花凜,3,0,4,4001,1,0,1,1,1,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,40010101,10019,SD_D_001_0201_01,D_001,4
40010201,東田花凜,4,0,4,4001,1,20,20,1,1,1,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,40010201,10020,SD_D_001_0201_01,D_001,4
40020101,東田朱葉,5,0,4,4002,1,0,1,1,1,1,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,40020101,10021,SD_D_002_0201_01,D_002,0
40020201,東田朱葉,6,0,4,4002,1,20,20,1,1,1,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,40020201,10022,SD_D_002_0201_01,D_002,0
40030101,エリザベス,1,0,4,4003,1,0,1,1,1,1,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,40030101,10023,SD_D_003_0201_01,D_003,0
40030201,エリザベス,2,0,4,4003,1,20,20,1,1,1,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,40030201,10024,SD_D_003_0201_01,D_003,0
40040101,巻島ひじり,3,0,4,4004,1,0,1,1,1,1,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,40040101,10025,SD_D_004_0201_01,D_004,0
40040201,巻島ひじり,4,0,4,4004,1,20,20,1,1,1,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,40040201,10001,SD_D_004_0201_01,D_004,0
40050101,北都あやめ,5,0,4,4005,1,0,1,1,1,1,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,40050101,10002,SD_D_003_0201_01,D_003,0
40050201,北都あやめ,6,0,4,4005,1,20,20,1,1,1,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,40050201,10003,SD_D_003_0201_01,D_003,5
40060101,小津野いつき,1,0,4,4006,1,0,1,1,1,1,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,40060101,10004,SD_D_003_0201_01,D_003,0
40060201,小津野いつき,2,0,4,4006,1,23,23,1,1,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,40060201,10005,SD_D_003_0201_01,D_003,0
40070201,前鬼,3,0,4,4007,0,0,1,1,1,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,40070201,10006,SD_D_003_0201_01,D_003,0
40080201,後鬼,4,0,4,4008,0,23,23,1,1,1,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,40080201,10007,SD_D_003_0201_01,D_003,0
40090101,セリーヌ,5,0,4,4009,0,0,1,1,1,1,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,40090101,10008,SD_D_003_0201_01,D_003,0
40090201,セリーヌ,6,0,4,4009,0,23,23,1,1,1,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,40090201,10009,SD_D_003_0201_01,D_003,0
40100101,天羽沙耶,1,0,4,4010,1,0,1,1,1,1,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,40100101,10010,SD_D_010_0201_01,D_010,0
40100201,天羽沙耶,2,0,4,4010,1,20,20,1,1,1,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,40100201,10011,SD_D_010_0201_01,D_010,0
40110101,西ヶ谷舞華,3,0,4,4011,0,0,1,1,1,1,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,40110101,10012,SD_D_010_0201_01,D_010,0
40110201,西ヶ谷舞華,4,0,4,4011,0,23,23,1,1,1,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,40110201,10013,SD_D_010_0201_01,D_010,0
40120101,九条紫子,5,0,4,4012,0,0,1,1,1,1,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,40120101,10014,SD_D_010_0201_01,D_010,0
40120201,九条紫子,6,0,4,4012,0,23,23,1,1,1,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,40120201,10015,SD_D_010_0201_01,D_010,0
40130101,石動左京,1,0,4,4013,0,0,1,1,1,1,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,40130101,10016,SD_D_010_0201_01,D_010,0
40130201,石動左京,2,0,4,4013,0,23,23,1,1,1,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,40130201,10017,SD_D_010_0201_01,D_010,0
